id,score_anon,score_raw
102265221000017,1.0,1.0
103405421000003,60.0,60.0
103526721000028,1.0,1.0
104350924000022,20.0,20.0
104625724000005,60.0,1.0
107742824000040,1.0,20.0
109428521000066,1.0,1.0
110465921125343,1.0,1.0
113777421000049,1.0,12.0
114036121005623,1.0,1.0
114036124016853,70.0,70.0
114036124026827,1.0,1.0
114036124027133,1.0,1.0
117184321001354,1.0,1.0
117184324003699,20.0,20.0
117548321000005,60.0,60.0
118014521000032,,60.0
119312520072309,60.0,40.0
119312521055751,1.0,1.0
119312521094619,19.0,19.0
119312521098128,1.0,1.0
119312521273623,60.0,60.0
119380521000465,1.0,20.0
120626424000050,1.0,1.0
121254521000085,1.0,1.0
121390020003966,1.0,1.0
121390021012513,60.0,60.0
121390021021548,1.0,1.0
121390024022351,1.0,1.0
121390024031988,1.0,1.0
122075421000008,1.0,1.0
126493121000037,1.0,1.0
129894624000011,1.0,1.0
131525520000029,1.0,1.0
138490524000013,1.0,1.0
139681424000030,1.0,1.0
142368924000005,20.0,20.0
143774921004299,1.0,19.0
143774921004453,1.0,1.0
143774921005111,60.0,60.0
143774921006901,19.0,19.0
143774921006940,1.0,1.0
143774921007524,1.0,40.0
143774921007868,,19.0
143774924004522,1.0,1.0
143774924005040,1.0,1.0
143774924008626,1.0,1.0
143774924008711,1.0,1.0
143774924010066,1.0,1.0
143774924010416,1.0,70.0
143774924020198,1.0,1.0
143774924024465,1.0,1.0
143922224000035,1.0,1.0
144805621000025,1.0,1.0
146715421000012,1.0,1.0
146785821000037,1.0,1.0
147733321000009,19.0,19.0
149229824000008,1.0,1.0
149269124000015,20.0,20.0
149315221000157,1.0,1.0
149315221005090,60.0,1.0
149315221006648,70.0,1.0
149315221008578,19.0,19.0
149315221025444,1.0,1.0
149315224008336,1.0,1.0
149315224008850,1.0,1.0
149315224011630,1.0,1.0
149315224014436,1.0,1.0
150043521000020,1.0,1.0
151737524000020,20.0,20.0
155279724000011,1.0,1.0
155335021000257,12.0,12.0
155479524000195,1.0,1.0
155837021001372,1.0,1.0
155837021001513,1.0,1.0
155837021001730,1.0,1.0
155837021001956,19.0,19.0
155837021001976,1.0,1.0
155837021002943,60.0,60.0
155837021003089,1.0,1.0
155837021003250,19.0,19.0
155837021003681,1.0,1.0
155837021003776,1.0,1.0
155837021004258,60.0,19.0
155837024001366,20.0,20.0
155837024002487,1.0,1.0
155837024002782,1.0,1.0
155837024002995,1.0,1.0
155837024003196,1.0,1.0
155837024003436,1.0,1.0
155837024003706,20.0,20.0
155837024003782,1.0,1.0
155837024004396,70.0,70.0
155837024004422,1.0,1.0
155837024004525,1.0,1.0
156067221000010,1.0,1.0
156276221000134,19.0,19.0
156459019010210,1.0,1.0
156459021004599,1.0,1.0
156459021007197,1.0,1.0
156459021007573,19.0,19.0
156459021007609,1.0,1.0
156459021008799,1.0,1.0
156459021008848,1.0,1.0
156459021008860,1.0,1.0
156459021012063,1.0,1.0
156459021012084,1.0,1.0
156459021012491,1.0,1.0
156459021012614,1.0,1.0
156459021013158,19.0,19.0
156459021015962,80.0,80.0
156459021017062,60.0,60.0
156459021039550,19.0,19.0
156459021046108,19.0,1.0
157199621000007,1.0,1.0
157587224000295,60.0,1.0
157791621000009,1.0,60.0
158034524000005,1.0,1.0
158106824000007,1.0,1.0
158370824000016,1.0,1.0
159653221000049,1.0,1.0
160064124000022,70.0,1.0
160154824000004,1.0,1.0
160649824000018,1.0,1.0
161068221000024,1.0,1.0
162828019002280,1.0,1.0
162828021002433,19.0,19.0
162828021002464,30.0,30.0
162828021003727,1.0,1.0
162828021005489,1.0,1.0
162828021018059,1.0,1.0
162828021025047,1.0,1.0
162828024003863,1.0,1.0
162828024006375,1.0,1.0
162828024006382,1.0,1.0
162828024006498,1.0,1.0
162828024008024,1.0,1.0
162828024010682,1.0,1.0
162828024011246,1.0,80.0
162828024012734,,1.0
162828024051384,1.0,1.0
165415121000003,1.0,1.0
165495421002627,1.0,1.0
165495421003659,1.0,85.0
1673221000103,1.0,1.0
167770324000037,1.0,1.0
167846321000010,1.0,1.0
167978824000022,1.0,1.0
168024724000051,1.0,1.0
168190321000012,1.0,1.0
168316821002707,80.0,1.0
168316824002035,80.0,80.0
168316824009011,80.0,80.0
