id,window,conm,filing_date,anon_path,raw_path
107742824000040,post,TEXAS CAPITAL BANCSHARES INC,2024-02-13,data/interim/anon/107742824000040.txt,data/raw/rf/107742824000040.txt
114036124016853,post,CENNTRO INC,2024-04-01,data/interim/anon/114036124016853.txt,data/raw/rf/114036124016853.txt
121390024031988,post,SMART POWERR CORP,2024-04-11,data/interim/anon/121390024031988.txt,data/raw/rf/121390024031988.txt
138490524000013,post,RINGCENTRAL INC,2024-02-22,data/interim/anon/138490524000013.txt,data/raw/rf/138490524000013.txt
139681424000030,post,PACIRA BIOSCIENCES INC,2024-02-29,data/interim/anon/139681424000030.txt,data/raw/rf/139681424000030.txt
142368924000005,post,AGNC INVESTMENT CORP,2024-02-22,data/interim/anon/142368924000005.txt,data/raw/rf/142368924000005.txt
143774924008626,post,FIREFLY NEUROSCIENCE INC,2024-03-20,data/interim/anon/143774924008626.txt,data/raw/rf/143774924008626.txt
143774924008711,post,AVINGER INC,2024-03-20,data/interim/anon/143774924008711.txt,data/raw/rf/143774924008711.txt
143774924024465,post,STANDEX INTERNATIONAL CORP,2024-08-02,data/interim/anon/143774924024465.txt,data/raw/rf/143774924024465.txt
143922224000035,post,AGIOS PHARMACEUTICALS,2024-02-15,data/interim/anon/143922224000035.txt,data/raw/rf/143922224000035.txt
149315224014436,post,SRX HEALTH SOLUTIONS INC,2024-04-12,data/interim/anon/149315224014436.txt,data/raw/rf/149315224014436.txt
151737524000020,post,SPROUT SOCIAL INC,2024-02-23,data/interim/anon/151737524000020.txt,data/raw/rf/151737524000020.txt
155837024001366,post,JBG SMITH PPTYS,2024-02-20,data/interim/anon/155837024001366.txt,data/raw/rf/155837024001366.txt
155837024002487,post,ALLIENT INC,2024-03-05,data/interim/anon/155837024002487.txt,data/raw/rf/155837024002487.txt
155837024002995,post,CADRE HOLDINGS INC,2024-03-12,data/interim/anon/155837024002995.txt,data/raw/rf/155837024002995.txt
155837024003436,post,COHERUS ONCOLOGY INC,2024-03-15,data/interim/anon/155837024003436.txt,data/raw/rf/155837024003436.txt
155837024004396,post,NRX PHARMACEUTICALS INC,2024-03-29,data/interim/anon/155837024004396.txt,data/raw/rf/155837024004396.txt
155837024004422,post,BATTALION OIL CORP,2024-04-01,data/interim/anon/155837024004422.txt,data/raw/rf/155837024004422.txt
158106824000007,post,BRIXMOR PROPERTY GROUP INC,2024-02-12,data/interim/anon/158106824000007.txt,data/raw/rf/158106824000007.txt
162828024006498,post,VERTIV HOLDINGS CO,2024-02-23,data/interim/anon/162828024006498.txt,data/raw/rf/162828024006498.txt
162828024010682,post,CORE SCIENTIFIC INC,2024-03-13,data/interim/anon/162828024010682.txt,data/raw/rf/162828024010682.txt
162828024051384,post,RCI HOSPITALITY HLDGS INC,2024-12-16,data/interim/anon/162828024051384.txt,data/raw/rf/162828024051384.txt
167770324000037,post,CONDUENT INC,2024-02-21,data/interim/anon/167770324000037.txt,data/raw/rf/167770324000037.txt
168316824002035,post,AUDDIA INC,2024-04-01,data/interim/anon/168316824002035.txt,data/raw/rf/168316824002035.txt
168316824009011,post,FORWARD INDUSTRIES INC,2024-12-27,data/interim/anon/168316824009011.txt,data/raw/rf/168316824009011.txt
170968224000010,post,CUSTOM TRUCK ONE SOURCE INC,2024-03-07,data/interim/anon/170968224000010.txt,data/raw/rf/170968224000010.txt
172268424000006,post,WYNDHAM HOTELS & RESRTS,2024-02-15,data/interim/anon/172268424000006.txt,data/raw/rf/172268424000006.txt
177151524000016,post,GROCERY OUTLET HLDNG CORP,2024-02-28,data/interim/anon/177151524000016.txt,data/raw/rf/177151524000016.txt
180507724000013,post,EOS ENERGY ENTERPRISES INC,2024-03-04,data/interim/anon/180507724000013.txt,data/raw/rf/180507724000013.txt
184606924000047,post,NEXTDOOR HOLDINGS INC,2024-02-27,data/interim/anon/184606924000047.txt,data/raw/rf/184606924000047.txt
2117524000007,post,CNA FINANCIAL CORP,2024-02-06,data/interim/anon/2117524000007.txt,data/raw/rf/2117524000007.txt
3478224000033,post,1ST SOURCE CORP,2024-02-20,data/interim/anon/3478224000033.txt,data/raw/rf/3478224000033.txt
